subjID,gain,loss,play,RT
2,10,3.75,1,1.169546772
2,8,15,0,1.257188044
2,9,2.25,1,1.323712178
2,8,12,0,1.023043245
2,12,10.5,0,1.146855377
2,4,7,0,0.96802754
2,12,3,1,0.996191409
2,2,1.25,0,0.855474353
2,2,2,0,0.85838199
2,4,3,0,0.95483931
2,9,13.5,0,1.0118991
2,9,16.875,0,0.880378104
2,10,12.5,0,1.035244027
2,5,6.25,0,1.017496307
2,10,6.25,0,1.196541454
2,8,10,0,0.93830038
2,6,6.75,0,0.977496661
2,9,4.5,1,1.088818248
2,10,7.5,0,1.054533993
2,2,3.75,0,1.375556665
2,8,3,1,1.196914356
2,4,7.5,0,1.046123224
2,12,18,0,1.143944702
2,5,9.375,0,1.008545388
2,4,1,1,0.912445381
2,6,11.25,0,0.86584821
2,4,2.5,0,1.191090703
2,12,16.5,0,0.894910584
2,2,0.75,1,0.898350618
2,4,3.5,0,0.948793058
2,9,14.625,0,0.959774337
2,2,2.25,0,1.060955026
2,10,8.75,0,0.847051516
2,9,6.75,0,0.856161085
2,9,3.375,1,1.131680709
2,6,5.25,0,0.865407356
2,9,11.25,0,0.753713726
2,6,6,0,0.924096975
2,5,5,0,0.875126076
2,12,4.5,1,1.014210554
2,8,11,0,1.008856811
2,6,4.5,0,1.037275406
2,10,18.75,0,0.786235991
2,12,12,0,0.889411658
2,2,3.5,0,0.968531632
2,2,3.25,0,0.812911074
2,10,10,1,3.158358371
2,6,7.5,0,0.944991875
2,6,8.25,0,1.720428539
2,2,0.5,1,1.181716773
2,12,9,0,0.909835318
2,8,2,0,1.385517966
2,12,7.5,0,0.942123704
2,5,5.625,0,1.082041256
2,8,6,0,0.835109063
2,4,6,0,1.897078002
2,10,20,0,1.221590008
2,8,8,0,0.854128476
2,9,15.75,0,0.734524075
2,9,18,0,0.790612936
2,8,7,0,1.268481976
2,12,13.5,0,0.876438483
2,5,10,0,0.934143241
2,6,10.5,0,0.799048177
2,5,4.375,0,0.85723075
2,5,3.125,0,0.723895975
2,12,15,0,1.479790294
2,5,8.125,0,0.918671718
2,10,2.5,0,1.321187026
2,10,17.5,0,1.145692508
2,5,3.75,0,1.022844041
2,5,6.875,0,1.388072344
2,6,3.75,0,1.217902705
2,6,1.5,0,1.939191991
2,4,2,0,1.013587102
2,6,9.75,0,1.422260282
2,10,13.75,0,1.581503029
2,6,12,0,0.787086806
2,6,9,0,0.912999632
2,4,8,0,1.006710166
2,8,13,0,1.335811179
2,8,5,0,1.127467065
2,12,22.5,0,0.871926961
2,2,4,0,1.184069665
2,2,2.75,0,1.288267523
2,9,9,0,1.022278038
2,12,24,0,0.845424897
2,9,5.625,0,1.023249076
2,10,16.25,0,0.837572945
2,6,3,0,0.742387736
2,8,4,0,1.125922007
2,4,5,0,1.095155356
2,2,3,0,0.82980296
2,4,5.5,0,0.776284631
2,12,6,0,1.522495744
2,9,10.125,0,0.935766397
2,12,19.5,0,0.837239429
3,12,18,1,2.268321078
3,5,6.875,0,3.273579325
3,6,7.5,0,2.376022665
3,2,3,0,2.360957318
3,2,0.75,1,1.356643659
3,2,2.5,0,1.895145834
3,4,1.5,0,2.68113314
3,8,10,0,2.045680117
3,12,24,0,1.254661169
3,10,11.25,0,2.390628969
3,5,6.25,0,1.791575016
3,5,2.5,0,2.10368789
3,9,15.75,0,0.781586072
3,2,3.25,0,1.16786338
3,10,2.5,0,1.918544244
3,8,8,0,1.623699552
3,9,9,0,1.301731232
3,4,7,0,1.033991467
3,10,13.75,0,1.148955848
3,10,16.25,0,0.914921101
3,10,7.5,0,1.077167726
3,4,3,0,1.175809125
3,5,10,0,0.797663565
3,5,8.125,0,1.030249931
3,2,2.75,0,1.884864335
3,5,1.875,1,1.059856481
3,12,10.5,0,1.060804717
3,2,1,1,1.561168897
3,5,3.75,0,1.021639682
3,6,10.5,0,0.859347056
3,8,3,0,1.711637497
3,9,6.75,0,1.634021622
3,10,20,0,0.913127037
3,2,0.5,1,1.281252612
3,8,11,0,0.953032287
3,10,12.5,0,1.15872111
3,9,2.25,1,1.228489103
3,4,5.5,0,0.895547093
3,12,22.5,0,0.77837169
3,12,21,0,0.748609305
